destination,duration,total_budget,travelers,region,season,purpose,accommodation_type,accommodation,transportation,food,activities,miscellaneous
TYO,6,2407,3,North America,peak,adventure,resort,870.33,657.99,406.74,313.98,157.96
NYC,6,3990,2,Middle East,shoulder,leisure,hostel,1362.79,874.44,978.0,496.83,277.94
LAS,5,3035,1,Asia,peak,family,hotel,1134.42,736.43,548.5,441.11,174.54
BKK,10,4673,5,North America,shoulder,adventure,hostel,1503.82,1224.78,1060.95,491.81,391.64
BKK,7,1793,1,North America,off_peak,adventure,hotel,541.43,473.39,361.16,274.73,142.29
LAS,10,5269,5,Oceania,peak,family,resort,1829.09,1198.44,1318.74,683.85,238.87
LAX,8,5296,4,Middle East,shoulder,leisure,hotel,1579.42,1198.76,1259.52,959.99,298.32
MIA,7,7371,5,Oceania,peak,business,airbnb,1801.62,2036.48,1538.27,1361.05,633.59
LAX,5,3472,5,Asia,shoulder,adventure,apartment,1322.22,940.72,642.71,342.86,223.49
BKK,1,4422,5,Oceania,shoulder,family,hotel,1166.85,1461.11,885.36,758.33,150.36
BKK,13,5497,3,Middle East,shoulder,leisure,apartment,2144.74,1263.66,1072.8,835.21,180.58
LAS,5,7532,5,Europe,off_peak,romantic,airbnb,2517.35,1813.33,1732.68,1062.08,406.56
LON,10,1492,2,Europe,peak,business,apartment,584.14,343.82,256.66,194.64,112.73
LAX,2,8612,2,Asia,off_peak,family,airbnb,2826.22,2023.99,2004.05,953.21,804.53
SYD,13,5787,1,Europe,shoulder,family,apartment,1857.42,1471.71,1247.79,699.79,510.3
LAS,5,2740,3,Oceania,shoulder,family,apartment,1080.02,602.83,590.33,242.51,224.31
TYO,5,1976,1,Asia,off_peak,adventure,hostel,705.89,480.0,390.72,297.77,101.62
BKK,2,6926,2,Middle East,off_peak,romantic,hotel,2652.55,2028.93,985.67,703.08,555.77
LAS,5,889,2,Asia,peak,business,apartment,325.14,181.26,198.23,139.67,44.7
LAX,13,1499,4,Asia,shoulder,leisure,resort,541.05,379.22,219.59,264.3,94.84
BKK,4,2355,5,North America,off_peak,leisure,hostel,844.36,538.23,460.38,400.91,111.12
MIA,1,8625,2,North America,shoulder,romantic,hotel,2945.43,1589.17,1906.79,1578.3,605.3
LAS,3,9350,1,Asia,shoulder,family,hostel,3178.79,2780.75,1760.94,1123.38,506.15
PAR,1,3263,1,Europe,peak,family,hotel,1355.77,565.76,586.42,506.61,248.43
BKK,12,4163,5,North America,peak,family,airbnb,1656.96,879.05,677.21,804.34,145.44
LAX,11,5486,5,Middle East,peak,family,apartment,1443.18,1335.02,1243.54,951.45,512.8
NYC,5,1981,4,Oceania,off_peak,family,resort,591.61,478.58,378.82,395.56,136.43
SYD,4,7756,3,North America,shoulder,romantic,hostel,2017.95,2304.19,1492.47,1209.93,731.46
DXB,7,4231,1,Asia,off_peak,adventure,hostel,1505.23,989.28,880.72,668.39,187.39
LON,5,7762,5,Europe,off_peak,business,hostel,3044.17,1496.74,1896.45,950.27,374.38
DXB,10,951,1,Oceania,peak,family,hostel,274.29,269.24,170.88,161.29,75.3
LAX,14,3593,5,North America,shoulder,adventure,apartment,1336.56,923.91,475.85,563.35,293.33
TYO,4,1382,2,Europe,shoulder,leisure,hotel,618.03,241.09,291.05,165.2,66.63
TYO,2,4908,1,Europe,peak,romantic,apartment,1674.51,1449.7,878.9,776.42,128.47
NYC,4,4568,2,Europe,shoulder,adventure,airbnb,1229.97,1287.42,902.9,903.27,244.43
LON,12,3777,1,Asia,peak,family,apartment,1242.46,943.94,654.84,704.86,230.9
PAR,2,9066,3,Middle East,off_peak,family,apartment,2873.83,2746.11,1555.2,1559.91,330.95
NYC,8,8451,4,Europe,off_peak,family,airbnb,2253.89,2675.56,1842.43,1091.64,587.48
DXB,3,5190,2,Oceania,peak,adventure,apartment,2321.35,1018.17,825.14,813.74,211.61
NYC,9,5095,5,North America,off_peak,family,hotel,1443.86,1649.01,757.13,912.55,332.44
DXB,13,5059,3,Oceania,off_peak,adventure,resort,1852.66,1455.85,988.87,571.18,190.45
BKK,4,7791,1,Asia,peak,family,airbnb,2990.2,1448.63,1139.85,1476.64,735.68
TYO,13,8660,2,Asia,off_peak,leisure,hostel,3047.56,1451.63,2084.5,1713.65,362.67
BKK,6,612,1,Oceania,shoulder,leisure,hotel,160.46,182.09,140.25,103.7,25.51
SYD,10,5631,1,Middle East,off_peak,business,resort,1991.99,1619.52,995.26,725.69,298.54
LON,5,3697,1,Asia,peak,family,hotel,1177.62,843.84,774.47,586.63,314.44
PAR,10,639,4,Asia,shoulder,family,hotel,271.2,130.71,119.22,97.68,20.18
DXB,13,1924,4,Oceania,shoulder,adventure,hostel,832.94,307.18,352.38,303.41,128.1
PAR,1,3449,5,Asia,off_peak,adventure,resort,1284.27,861.5,582.98,404.97,315.28
DXB,9,3668,2,Middle East,shoulder,family,hotel,1262.48,859.72,797.59,475.08,273.14
LAX,1,9208,3,Middle East,peak,business,hostel,3241.35,2599.81,1871.54,971.24,524.06
NYC,8,6543,3,Middle East,shoulder,family,airbnb,2085.85,1242.84,1570.25,1014.09,629.96
SYD,9,7489,3,North America,off_peak,adventure,hostel,2661.98,2218.59,1524.1,706.7,377.63
TYO,9,7736,1,Middle East,off_peak,family,apartment,2695.89,2011.06,1469.24,971.52,588.28
DXB,1,6761,4,Middle East,shoulder,adventure,hostel,2426.72,1788.17,1201.39,937.42,407.31
PAR,2,1387,2,North America,peak,family,hostel,554.69,227.96,315.67,226.01,62.66
SYD,12,3604,1,Europe,peak,romantic,hostel,1084.69,716.85,845.29,734.12,223.05
MIA,13,549,4,Asia,off_peak,adventure,hotel,179.17,185.22,94.2,60.69,29.72
MIA,1,4451,4,Middle East,off_peak,business,resort,1553.25,1070.88,745.45,764.5,316.93
BKK,10,4060,2,Asia,peak,romantic,hostel,1153.51,1314.22,670.04,725.56,196.67
TYO,2,518,2,Oceania,shoulder,family,hostel,192.85,105.0,117.56,66.23,36.35
LAX,10,5321,2,Asia,shoulder,adventure,apartment,1500.29,1628.54,1114.04,607.23,470.89
PAR,12,6840,1,North America,shoulder,romantic,apartment,2143.91,1870.05,1495.95,682.26,647.83
NYC,8,8558,5,Asia,shoulder,business,airbnb,2877.9,1696.26,2121.46,1536.83,325.54
NYC,5,3106,2,Asia,peak,adventure,airbnb,851.29,912.41,490.33,596.94,255.03
PAR,12,8346,5,Asia,off_peak,romantic,apartment,2753.12,1932.55,1742.08,1181.62,736.62
LON,11,9143,1,Europe,off_peak,romantic,resort,3683.34,2209.48,1610.96,1012.23,626.99
LAX,7,6932,5,Europe,shoulder,romantic,airbnb,2506.92,1858.83,988.86,1229.85,347.54
SYD,2,4265,3,Oceania,peak,leisure,resort,1508.1,1141.8,813.19,527.44,274.47
DXB,8,2938,5,North America,peak,family,apartment,844.89,990.06,523.74,457.33,121.98
LON,11,6858,2,Asia,shoulder,adventure,airbnb,2481.17,1545.84,1302.33,1000.15,528.51
DXB,6,8819,1,Asia,shoulder,adventure,hostel,2670.47,2722.93,2004.09,995.6,425.9
DXB,8,6441,2,Asia,shoulder,adventure,apartment,2369.79,1284.48,1448.13,802.02,536.58
LON,1,8144,3,Asia,off_peak,romantic,airbnb,2532.81,1797.15,2088.7,1302.21,423.13
BKK,1,5355,2,Europe,shoulder,family,resort,2160.86,1112.51,920.24,596.72,564.67
MIA,12,7047,2,Oceania,off_peak,business,resort,2266.76,1779.27,1423.99,1108.71,468.27
DXB,7,7696,2,Middle East,peak,adventure,airbnb,3009.4,1682.5,1241.55,1218.11,544.43
LON,8,6411,4,North America,peak,family,resort,2571.89,1392.75,1279.27,919.67,247.43
LON,13,6981,3,Asia,off_peak,family,airbnb,2524.81,1768.29,1366.46,1037.18,284.26
LAS,3,3261,2,Oceania,off_peak,leisure,airbnb,1120.82,886.76,650.67,486.89,115.86
BKK,5,4956,2,Middle East,off_peak,adventure,resort,1512.63,1124.39,1007.54,836.72,474.72
TYO,12,6861,2,Oceania,off_peak,romantic,hotel,2297.55,1247.42,1589.05,1167.47,559.51
LAS,1,6193,1,Europe,shoulder,family,hostel,2307.43,1719.43,886.12,1071.07,208.95
LAS,7,6288,4,Middle East,peak,family,apartment,2237.9,1689.09,1294.29,751.29,315.42
PAR,5,701,1,Oceania,shoulder,business,hostel,273.96,144.64,115.78,118.97,47.65
MIA,8,6660,4,Europe,off_peak,leisure,apartment,2535.22,1192.26,1556.26,762.02,614.24
LON,13,1017,2,Oceania,shoulder,family,apartment,341.5,261.18,240.78,130.6,42.93
MIA,8,8237,3,Oceania,shoulder,family,hostel,2913.48,1708.43,1742.02,1095.51,777.56
LAX,9,2488,5,Middle East,peak,romantic,airbnb,985.82,398.21,611.84,353.02,139.1
PAR,7,4302,5,Europe,shoulder,romantic,resort,1405.07,1187.57,835.47,700.63,173.26
TYO,11,6308,2,Asia,peak,business,hotel,2419.54,1612.47,953.69,939.5,382.8
MIA,1,7662,1,North America,off_peak,business,hotel,2418.65,1651.71,1371.36,1609.75,610.53
NYC,13,6741,3,Middle East,shoulder,business,hotel,2299.25,1286.06,1455.82,1119.18,580.68
DXB,3,8899,4,Europe,off_peak,romantic,hostel,3603.46,1923.44,1546.96,1111.85,713.28
LAX,8,6133,2,Oceania,peak,romantic,hostel,1972.88,1534.48,1560.67,712.44,352.52
BKK,3,6255,3,Europe,off_peak,leisure,airbnb,2480.56,1227.47,1182.09,974.45,390.43
TYO,8,6809,3,North America,off_peak,adventure,hotel,1897.38,2362.21,1080.4,1224.14,244.86
LAX,1,4617,4,North America,peak,adventure,airbnb,1829.14,985.68,873.99,599.61,328.57
DXB,5,8845,3,Asia,off_peak,leisure,hotel,3234.38,1618.36,2271.13,1152.12,569.01
PAR,4,2018,1,Asia,off_peak,adventure,hostel,610.25,517.71,469.47,316.53,104.04
DXB,5,6663,1,North America,off_peak,romantic,resort,2122.21,2137.13,1145.97,970.15,287.54
LAS,8,3100,1,Middle East,shoulder,adventure,resort,970.6,581.01,768.12,557.37,222.91
DXB,10,2695,3,Middle East,off_peak,romantic,resort,843.41,720.89,577.99,454.88,97.83
LAS,14,4054,1,Oceania,peak,leisure,resort,1670.94,913.64,912.0,379.53,177.88
PAR,4,3349,4,Asia,shoulder,business,apartment,881.3,989.1,592.35,598.98,287.26
SYD,11,2242,3,Oceania,shoulder,leisure,hotel,773.89,571.31,443.92,337.71,115.17
LAS,4,1806,5,Asia,peak,adventure,resort,620.71,529.05,294.26,312.29,49.7
BKK,3,4349,3,North America,off_peak,romantic,apartment,1488.01,820.83,756.82,844.66,438.68
DXB,7,8019,4,Middle East,shoulder,adventure,apartment,2948.33,2510.47,1247.76,829.35,483.08
DXB,3,4695,5,Middle East,shoulder,adventure,apartment,1804.13,685.4,1082.79,695.19,427.49
BKK,12,5678,3,North America,shoulder,business,airbnb,1806.2,1350.97,1259.45,1002.42,258.96
NYC,3,3055,1,Oceania,off_peak,adventure,airbnb,1223.18,907.61,425.97,316.64,181.6
LON,11,2805,2,Oceania,shoulder,business,apartment,931.46,793.96,432.73,447.74,199.11
SYD,10,8119,2,Europe,peak,romantic,resort,2640.88,2300.49,1532.78,1020.77,624.07
TYO,5,9780,1,Asia,off_peak,romantic,hotel,4345.1,1925.2,1809.59,1225.59,474.53
LAS,5,3142,2,Oceania,peak,business,hostel,1035.31,908.67,481.55,612.45,104.02
BKK,14,9869,2,North America,peak,leisure,airbnb,3687.36,2845.0,1751.32,983.58,601.74
PAR,6,6909,1,Oceania,shoulder,romantic,resort,2292.95,1962.34,1251.6,860.92,541.19
LAS,8,5257,1,Middle East,shoulder,leisure,resort,1953.37,1221.52,1039.48,699.91,342.72
LON,10,3494,3,Asia,shoulder,romantic,hostel,1242.73,932.8,583.81,505.15,229.51
PAR,6,9251,3,Europe,peak,romantic,hostel,3022.88,2124.32,2184.72,1528.49,390.59
LAX,12,1771,1,Asia,off_peak,family,resort,638.56,499.53,300.7,184.89,147.33
DXB,1,2313,4,Middle East,shoulder,adventure,hostel,980.21,457.12,366.75,331.14,177.78
LAX,8,9301,2,Middle East,shoulder,adventure,resort,2707.31,2399.29,1828.52,1795.41,570.47
LAS,8,2961,3,Middle East,peak,leisure,hostel,966.78,924.24,487.7,349.31,232.98
LON,9,4620,2,Middle East,off_peak,adventure,hostel,1431.99,1482.92,747.87,520.88,436.35
SYD,9,6624,5,North America,peak,leisure,resort,2304.42,1890.07,1110.05,750.38,569.07
LAS,2,8975,1,Europe,shoulder,romantic,apartment,3078.18,2305.89,1461.93,1325.98,803.03
BKK,2,4896,4,Middle East,peak,family,resort,1776.73,1242.74,940.22,646.02,290.29
MIA,3,9783,5,Middle East,shoulder,family,hotel,3906.33,1955.1,1697.22,1911.3,313.06
LAS,1,1316,5,Oceania,off_peak,romantic,hostel,375.32,356.65,302.24,207.71,74.09
DXB,4,7804,5,Europe,peak,business,airbnb,3104.72,2025.97,1624.42,724.8,324.09
DXB,14,7831,1,Asia,shoulder,business,hostel,2963.02,1701.37,1434.74,1117.48,614.38
LAS,4,582,3,Europe,shoulder,adventure,hotel,219.97,172.3,87.22,80.72,21.79
PAR,14,2420,1,Europe,shoulder,leisure,airbnb,776.06,546.54,461.2,436.88,199.32
MIA,9,8317,3,Europe,shoulder,family,airbnb,2674.09,2317.9,1543.79,1288.95,492.27
BKK,9,2593,5,Middle East,peak,adventure,resort,863.4,716.94,369.56,411.07,232.03
LAS,9,7571,5,Middle East,shoulder,romantic,apartment,2926.98,1172.61,1399.36,1348.46,723.59
PAR,10,8467,4,North America,peak,family,resort,2539.92,2494.5,1852.86,880.48,699.23
DXB,7,8867,3,Asia,shoulder,leisure,airbnb,2695.98,2300.36,1745.91,1424.03,700.71
DXB,14,5785,5,Oceania,peak,leisure,airbnb,1720.01,1666.53,1174.64,908.09,315.73
LON,2,5437,2,Europe,peak,business,apartment,1452.94,1401.8,1353.24,671.67,557.34
LAS,10,869,4,Asia,shoulder,adventure,hostel,308.2,218.65,163.05,118.85,60.25
MIA,5,2318,1,Asia,shoulder,romantic,apartment,682.5,651.22,448.29,361.53,174.46
NYC,4,2601,4,North America,shoulder,family,resort,815.29,489.41,698.91,382.53,214.86
MIA,12,3990,2,Oceania,shoulder,leisure,hostel,1497.72,682.7,681.02,807.85,320.72
DXB,11,2279,3,Europe,off_peak,family,resort,755.82,721.95,356.45,268.01,176.77
DXB,8,8174,1,Oceania,shoulder,romantic,apartment,2994.03,1707.36,1811.72,1432.72,228.18
LAX,2,1864,1,North America,shoulder,family,hostel,542.99,599.45,350.31,209.1,162.15
DXB,6,7794,3,Middle East,shoulder,adventure,apartment,2676.61,1950.89,1324.01,1304.0,538.49
BKK,13,4176,4,Asia,peak,business,hotel,1209.35,905.21,870.43,799.03,391.97
TYO,5,2926,5,Europe,shoulder,family,airbnb,830.94,802.69,614.74,488.66,188.98
LAS,12,8764,4,Middle East,peak,business,hostel,2457.15,2946.77,1565.9,1088.58,705.6
MIA,2,8589,2,North America,peak,romantic,airbnb,3542.47,1574.22,1701.68,1033.83,736.81
TYO,11,3462,5,Oceania,peak,business,hotel,1390.16,722.02,664.4,540.1,145.32
PAR,10,1359,4,Asia,peak,family,hostel,379.04,407.94,272.02,246.21,53.78
NYC,1,4638,3,Europe,off_peak,family,airbnb,1803.27,1157.0,755.3,748.9,173.54
BKK,8,2924,2,Middle East,shoulder,leisure,airbnb,1145.08,761.63,566.82,312.34,138.12
MIA,2,9756,2,Middle East,peak,family,hostel,3585.06,2845.39,1731.19,1037.61,556.75
TYO,7,4517,2,Asia,shoulder,business,airbnb,1686.24,909.29,969.28,651.23,300.96
NYC,9,9060,5,Oceania,peak,leisure,airbnb,3123.02,2694.89,1508.18,1144.56,589.36
LAX,9,8842,1,North America,off_peak,family,hostel,2795.84,1987.07,2004.9,1641.63,412.57
BKK,8,1634,5,Oceania,peak,family,airbnb,607.32,351.86,258.17,288.97,127.69
BKK,11,5666,4,Oceania,shoulder,romantic,airbnb,2488.65,1018.18,911.43,833.55,414.2
LAX,14,5619,1,Oceania,shoulder,leisure,resort,1561.48,1769.57,1116.4,775.18,396.36
LAS,12,6194,4,Asia,off_peak,romantic,resort,2441.95,1027.05,1619.3,883.48,222.23
LAX,10,6636,1,Asia,shoulder,romantic,hotel,2214.96,1836.41,1220.23,975.55,388.85
BKK,9,5985,5,North America,shoulder,romantic,resort,2552.22,923.15,1331.56,981.44,196.62
BKK,2,4664,2,Oceania,peak,adventure,resort,1632.47,1151.17,997.12,490.26,392.97
TYO,6,2846,3,Asia,shoulder,romantic,hotel,821.77,691.22,704.22,461.49,167.3
DXB,4,5539,2,North America,peak,business,airbnb,1351.47,1480.63,1294.28,995.12,417.51
NYC,14,5397,5,North America,off_peak,family,airbnb,1784.76,1302.98,1110.69,892.49,306.08
LAX,4,8752,1,Oceania,shoulder,adventure,resort,2569.18,2349.63,1563.32,1441.65,828.22
NYC,5,5541,2,Europe,peak,romantic,hotel,1960.84,1559.2,1168.93,690.85,161.18
LAX,12,4401,5,Oceania,shoulder,family,airbnb,1179.17,932.52,989.18,861.39,438.74
PAR,3,1837,4,Europe,peak,leisure,apartment,463.03,631.51,330.71,334.42,77.34
BKK,14,1684,3,North America,off_peak,leisure,hostel,498.51,428.44,447.85,231.78,77.42
DXB,1,4926,2,Asia,peak,family,hostel,1857.93,1452.36,650.57,743.0,222.13
TYO,8,2051,1,Middle East,shoulder,business,hostel,677.49,508.36,401.73,315.87,147.54
DXB,5,2129,4,North America,peak,family,resort,702.88,594.7,454.48,295.06,81.88
DXB,3,2026,5,Asia,shoulder,family,hostel,695.56,560.29,393.3,292.12,84.72
DXB,10,1861,3,North America,off_peak,adventure,hostel,669.99,383.53,427.7,292.32,87.45
NYC,14,4870,1,Oceania,peak,leisure,apartment,1557.33,1443.13,829.53,689.41,350.6
LAX,7,5783,5,Europe,shoulder,leisure,airbnb,2144.31,988.32,1104.58,1022.77,523.02
SYD,7,8110,5,North America,shoulder,romantic,apartment,2693.4,2449.68,1462.98,1019.21,484.74
PAR,1,2493,2,Asia,shoulder,family,resort,703.97,593.66,504.74,476.45,214.19
MIA,12,1369,2,Oceania,peak,family,hostel,522.16,309.47,237.9,190.06,109.41
DXB,9,1514,1,Middle East,peak,business,airbnb,460.41,358.12,287.07,268.63,139.77
LAS,2,1102,5,Oceania,peak,leisure,hostel,448.66,251.24,222.47,131.57,48.06
NYC,5,1190,2,Europe,off_peak,business,hostel,428.77,266.97,254.6,182.31,57.34
TYO,13,9185,3,Oceania,shoulder,adventure,resort,3077.76,2833.76,1936.92,851.24,485.32
MIA,14,989,3,Middle East,shoulder,romantic,hostel,383.47,160.83,213.4,144.77,86.53
SYD,5,7364,5,Asia,off_peak,business,hotel,2883.57,1935.5,1463.34,822.71,258.87
LAS,14,7740,2,North America,off_peak,leisure,airbnb,2860.97,1608.95,1376.39,1118.63,775.06
SYD,8,8286,1,Europe,peak,adventure,airbnb,2475.94,2037.26,1879.75,1475.79,417.27
MIA,14,8524,1,Middle East,peak,family,hotel,3509.12,2106.01,1602.33,799.4,507.14
DXB,8,794,1,Europe,peak,adventure,resort,332.51,154.44,147.42,81.28,78.35
LAS,14,5988,3,Oceania,peak,business,hostel,1560.31,1953.24,1074.25,940.68,459.52
SYD,7,4527,2,Europe,peak,leisure,hostel,1409.43,1209.73,924.94,535.37,447.53
TYO,7,3412,2,Middle East,peak,business,airbnb,963.82,1044.25,674.99,443.57,285.37
LAX,12,5244,3,North America,off_peak,family,resort,1924.47,1123.6,1061.61,657.25,477.07
BKK,11,2373,1,North America,off_peak,family,resort,836.27,532.17,602.1,272.08,130.38
LAX,6,3758,1,Europe,off_peak,leisure,resort,1078.53,1083.07,812.99,569.48,213.92
MIA,6,3317,5,Asia,shoulder,romantic,hostel,1224.9,754.13,582.71,631.91,123.35
NYC,11,9136,4,Europe,shoulder,adventure,resort,2899.71,2995.43,2019.07,934.64,287.15
BKK,9,4141,2,Oceania,peak,adventure,hotel,1429.08,998.49,785.93,526.79,400.71
PAR,6,4958,2,North America,off_peak,family,apartment,1669.28,1360.05,1044.62,641.75,242.3
TYO,12,5807,2,North America,shoulder,business,resort,2175.74,1613.8,852.44,941.05,223.98
PAR,13,9433,4,North America,shoulder,business,apartment,3712.56,1644.61,2354.66,1040.14,681.03
LAS,13,2541,5,Asia,off_peak,romantic,hostel,1083.8,462.86,508.46,278.18,207.69
BKK,2,1179,4,Asia,shoulder,business,resort,374.5,314.85,292.48,157.0,40.16
PAR,2,6238,1,Middle East,shoulder,adventure,airbnb,2161.39,1725.01,1379.4,649.78,322.42
PAR,13,6168,1,Europe,off_peak,business,hostel,2307.57,1715.55,1170.68,699.37,274.83
SYD,5,8197,2,Europe,shoulder,romantic,hotel,2242.1,2728.13,1364.94,1283.32,578.51
LAX,4,8533,3,Oceania,off_peak,adventure,hotel,2915.72,1984.83,1952.02,1249.65,430.79
SYD,11,562,2,North America,shoulder,business,apartment,163.12,154.07,121.98,80.91,41.91
BKK,2,8329,3,Asia,off_peak,adventure,apartment,2804.85,2162.96,1957.21,1131.51,272.47
BKK,3,7852,4,Oceania,shoulder,family,airbnb,2906.96,2032.44,1250.18,1305.56,356.87
MIA,7,7415,1,Oceania,shoulder,family,airbnb,2443.82,2048.52,1336.58,1279.5,306.58
SYD,8,8826,3,Asia,off_peak,family,hotel,2544.01,2406.98,1925.29,1036.56,913.17
LON,12,4144,4,Europe,shoulder,business,resort,1553.62,767.77,771.76,766.99,283.86
LAX,13,5470,1,North America,off_peak,romantic,hotel,1827.48,1083.73,1226.73,849.74,482.33
BKK,6,8503,3,Europe,off_peak,adventure,hotel,3201.95,1468.65,1733.44,1413.45,685.51
MIA,11,3778,2,Oceania,shoulder,leisure,airbnb,1417.78,1025.06,673.93,453.86,207.37
SYD,5,7796,2,North America,peak,family,apartment,3300.67,1634.93,1290.08,886.99,683.34
LAX,13,9514,2,Middle East,shoulder,family,airbnb,3716.82,2305.4,1639.8,1549.95,302.03
SYD,1,3574,4,Oceania,peak,leisure,airbnb,1225.49,774.04,835.04,508.05,231.38
PAR,8,8812,2,Europe,peak,leisure,airbnb,3257.59,2049.38,1431.42,1275.97,797.64
MIA,3,8052,5,Europe,shoulder,business,hotel,2376.45,2046.78,1773.87,1309.92,544.98
LAX,6,2137,1,Europe,peak,adventure,resort,678.42,576.11,420.13,336.3,126.04
DXB,3,5603,4,Asia,off_peak,family,hotel,1871.71,1011.19,1079.46,1112.32,528.33
LAS,7,9616,2,Oceania,off_peak,romantic,hostel,3349.18,2430.24,1707.88,1373.27,755.42
LAS,13,1144,1,North America,peak,business,airbnb,400.97,227.61,247.61,148.67,119.14
LAX,14,2532,3,Europe,off_peak,business,airbnb,810.68,820.23,426.4,293.86,180.84
SYD,7,3261,2,Europe,shoulder,romantic,hostel,1298.53,842.55,553.42,332.06,234.45
MIA,12,2568,1,Asia,off_peak,romantic,airbnb,823.68,652.0,648.85,327.44,116.03
LAS,9,741,5,North America,peak,romantic,airbnb,186.66,248.48,134.28,135.61,35.97
MIA,5,3168,3,Oceania,shoulder,leisure,airbnb,1193.01,577.13,595.05,543.32,259.49
LAS,8,1302,5,Middle East,off_peak,family,hostel,480.91,370.22,201.31,174.34,75.21
PAR,10,5559,1,Asia,shoulder,leisure,hotel,2158.38,1055.63,1225.9,731.46,387.64
SYD,10,695,5,Oceania,peak,family,airbnb,210.44,160.76,153.09,104.8,65.92
PAR,8,2687,1,Middle East,off_peak,leisure,resort,936.05,619.16,562.13,392.29,177.38
LAS,1,2830,1,Europe,shoulder,adventure,hostel,857.37,655.96,625.48,541.97,149.22
DXB,12,5341,5,Europe,shoulder,family,apartment,1615.13,1480.9,863.61,944.81,436.54
DXB,5,4106,1,North America,off_peak,business,hostel,1244.58,1273.82,776.3,638.11,173.2
PAR,3,8968,2,Middle East,shoulder,family,hotel,2936.02,2839.31,1508.16,1224.33,460.17
DXB,1,560,1,Europe,shoulder,family,hostel,167.71,124.45,103.71,115.13,49.0
LAS,4,4427,4,Europe,peak,family,apartment,1432.05,1383.81,695.93,697.93,217.28
LAX,8,6796,1,North America,peak,adventure,resort,1834.73,2197.06,1142.63,1225.37,396.21
PAR,3,3091,4,Oceania,peak,leisure,apartment,828.72,971.77,687.06,440.54,162.91
NYC,10,9258,1,Europe,peak,business,hostel,2446.59,3126.27,1842.75,1003.19,839.2
SYD,2,6621,1,Asia,peak,leisure,apartment,2337.14,1457.78,1361.27,1195.89,268.93
DXB,11,1700,5,Asia,peak,leisure,hostel,568.8,540.54,277.24,218.61,94.8
DXB,9,3354,2,Oceania,off_peak,romantic,resort,1171.05,1064.57,604.12,340.93,173.33
BKK,10,7524,2,Middle East,peak,adventure,resort,2358.93,2296.18,1252.5,1058.12,558.26
LON,5,9928,3,North America,shoulder,romantic,hotel,3120.74,2658.27,1649.64,1984.83,514.53
PAR,14,7472,5,Asia,off_peak,adventure,resort,3008.31,1489.39,1579.49,862.61,532.19
TYO,7,636,5,Asia,shoulder,leisure,airbnb,197.57,158.08,136.46,99.74,44.15
DXB,11,1529,2,Oceania,peak,leisure,apartment,490.94,372.8,386.55,189.99,88.71
SYD,11,3094,5,Middle East,peak,adventure,apartment,962.28,650.46,662.13,514.57,304.55
NYC,2,7706,2,Middle East,shoulder,leisure,hostel,2178.69,2232.68,1432.87,1273.54,588.23
DXB,9,1161,5,Oceania,shoulder,leisure,resort,449.13,256.39,201.79,141.67,112.02
NYC,13,2972,1,Asia,shoulder,business,hotel,1064.9,711.11,574.69,462.64,158.65
LAS,9,586,2,North America,off_peak,romantic,hotel,228.07,141.85,116.43,63.02,36.63
LAS,4,6719,2,Asia,peak,romantic,hotel,2512.23,1530.7,1549.28,870.22,256.56
LON,4,8643,4,Middle East,shoulder,romantic,airbnb,3290.32,2272.67,1390.0,1226.12,463.89
LAX,6,7468,5,Asia,peak,family,resort,2930.33,1817.12,1110.08,1005.5,604.97
TYO,10,3273,5,North America,shoulder,business,hotel,1094.17,906.8,498.37,537.65,236.01
BKK,10,2200,2,Europe,peak,romantic,airbnb,786.36,435.73,474.39,325.44,178.08
LON,10,3200,1,Asia,off_peak,romantic,apartment,1148.87,638.74,653.37,518.91,240.11
MIA,6,7315,1,Oceania,peak,business,hostel,2538.8,1868.7,1688.18,843.55,375.77
BKK,12,2147,1,Europe,shoulder,leisure,resort,824.06,504.95,401.39,284.77,131.84
PAR,1,6538,5,Oceania,peak,romantic,resort,1915.69,1715.65,1651.78,1035.88,219.0
SYD,14,5664,4,Oceania,off_peak,leisure,apartment,2241.85,1255.95,905.79,1020.18,240.23
MIA,14,6020,2,Oceania,off_peak,romantic,resort,2377.18,1305.12,1228.03,847.05,262.62
MIA,9,4187,3,Asia,peak,adventure,resort,1326.77,1179.54,783.74,553.89,343.05
LON,2,1096,4,Middle East,shoulder,family,resort,378.34,202.82,191.27,213.56,110.0
LAX,5,5045,3,Europe,off_peak,romantic,resort,1717.28,1507.69,1001.15,624.45,194.44
LON,9,9176,4,North America,off_peak,adventure,airbnb,4029.81,1581.79,1892.92,1217.49,454.0
PAR,4,9337,1,Middle East,peak,business,airbnb,3420.33,1770.28,2179.71,1268.34,698.34
DXB,11,5257,5,Asia,off_peak,adventure,hostel,1922.5,1392.91,1168.13,598.37,175.09
DXB,3,4884,3,Oceania,off_peak,business,resort,1222.85,1524.83,1158.39,610.05,367.88
LAX,7,9412,4,North America,shoulder,romantic,apartment,2862.67,2134.38,2489.12,1211.87,713.96
PAR,6,5233,5,Europe,shoulder,business,hotel,1800.28,1426.94,919.55,767.28,318.95
LAX,8,7581,3,Middle East,shoulder,adventure,hostel,2216.06,2540.22,1422.88,877.88,523.95
NYC,3,9190,2,Middle East,peak,family,hotel,4221.93,1797.68,1509.52,1107.53,553.34
